line,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,tree_20,tree_21,tree_22,tree_23,tree_24,tree_25
1,396,147,377,149,92,249,268,292,294,212,227,232,382,24,352,379,311,286,128,46,39,46,114,322,291
2,393,33,360,244,227,157,129,154,22,180,34,388,387,272,83,379,312,322,51,116,344,301,188,28,266
3,41,240,265,264,40,40,38,266,304,196,59,205,2,305,396,299,96,21,56,288,124,243,339,370,108
4,181,398,245,29,261,394,290,298,317,76,382,146,156,388,142,313,106,145,82,279,197,56,395,192,192
5,5,108,340,337,179,368,123,107,294,231,38,92,256,233,90,185,87,220,31,168,71,237,378,188,175
6,346,338,196,155,140,371,262,293,33,314,235,274,357,6,335,280,183,196,213,378,391,331,165,49,36
7,310,365,140,247,115,356,139,289,149,235,88,212,368,366,326,315,21,306,288,103,318,1,275,225,71
8,24,184,355,102,225,298,213,369,70,125,248,308,398,14,112,284,58,12,261,243,343,360,215,225,115
9,187,45,59,182,161,95,160,110,188,392,392,121,109,254,225,389,301,103,78,133,343,351,2,396,136
10,341,179,321,299,248,383,20,148,346,287,106,11,205,25,263,138,122,347,25,143,267,80,258,51,165
11,152,74,111,187,223,236,104,34,370,200,198,117,256,72,172,48,241,261,14,8,120,9,50,100,11
12,61,198,160,379,191,326,79,233,186,317,263,217,195,90,85,219,39,62,357,13,208,202,325,356,4
13,99,67,125,24,148,291,370,345,261,134,366,124,211,87,69,348,52,4,384,393,379,124,34,140,148
14,80,37,152,331,238,184,74,63,219,178,64,103,248,298,311,57,70,340,167,385,30,221,109,273,225
15,332,22,259,99,16,34,162,10,32,211,316,184,12,398,192,242,205,177,367,194,1,154,301,219,15
16,248,287,52,132,151,80,257,263,222,208,202,158,361,163,26,234,172,392,256,182,1,393,219,153,37
17,15,199,157,361,45,399,170,262,178,206,298,248,290,354,53,252,181,98,240,62,362,4,309,298,184
18,291,111,220,212,207,322,356,279,256,368,146,133,82,13,317,99,153,137,125,313,214,32,160,398,255
19,317,57,221,359,369,28,121,27,209,9,166,399,194,11,190,63,97,382,346,183,234,281,143,169,354
20,17,327,395,269,359,234,170,121,236,55,283,70,374,146,153,298,151,364,195,169,69,313,101,113,244
