line,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,tree_20,tree_21,tree_22,tree_23,tree_24,tree_25
1,332,321,105,210,261,214,10,193,15,14,123,6,126,397,117,391,339,317,205,169,14,346,294,234,33
2,367,21,3,120,64,19,169,115,207,111,29,212,248,260,301,319,363,247,262,359,181,237,57,75,102
3,154,379,244,230,376,379,334,237,85,245,201,32,195,131,220,395,36,168,387,359,386,151,164,399,130
4,331,230,352,45,71,118,301,350,183,376,313,84,288,311,104,330,242,254,340,398,37,139,314,3,77
5,97,4,30,152,41,157,19,331,334,344,80,42,168,2,112,353,190,381,14,97,95,236,143,304,215
6,28,136,28,370,116,200,292,366,204,246,168,369,249,270,12,178,214,272,41,231,36,76,44,38,207
7,293,207,357,314,189,82,302,197,331,315,47,340,6,256,267,20,351,357,150,361,304,204,343,343,216
8,252,297,294,172,268,25,85,262,168,213,371,212,70,25,161,40,98,261,80,23,243,162,333,64,105
9,114,235,67,363,348,45,334,337,116,339,109,265,101,251,280,59,23,238,145,398,103,105,72,169,287
10,49,212,178,236,119,154,258,373,371,383,217,213,265,352,97,270,125,356,378,248,20,12,379,289,275
11,119,130,74,237,308,22,311,148,119,162,339,34,381,262,172,6,214,316,121,384,262,227,153,15,21
12,221,369,206,25,28,258,224,165,265,6,39,320,269,251,327,12,293,322,87,343,194,134,17,12,280
13,183,324,196,378,42,91,38,156,273,57,283,393,221,141,24,28,315,23,91,343,287,357,108,187,76
14,220,18,95,218,301,382,342,296,351,393,117,74,377,41,60,165,280,340,331,315,241,250,73,75,385
15,33,310,285,92,308,204,68,189,9,212,163,75,33,198,112,178,68,388,125,348,155,204,34,173,34
16,58,220,38,222,176,230,154,309,379,122,235,26,365,379,337,289,124,43,262,237,355,296,168,383,270
17,180,153,68,217,340,47,282,328,164,386,247,235,108,53,245,114,109,7,123,179,246,79,243,382,114
18,383,187,377,294,239,313,236,9,326,220,167,2,161,374,123,20,22,166,168,34,247,258,139,322,110
19,138,162,92,76,14,245,365,349,52,33,189,65,219,315,147,3,281,125,87,149,166,34,107,202,62
20,305,44,195,270,352,21,194,19,262,74,114,346,308,170,349,130,141,269,182,314,350,164,40,134,245
