line,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,tree_20,tree_21,tree_22,tree_23,tree_24,tree_25
4,4,4,1,1,4,1,5,2,2,5,2,1,4,5,3,1,2,4,4,3,4,1,3,2,2
2,3,5,1,3,5,4,1,4,1,3,2,3,4,2,3,5,3,2,1,5,5,3,4,1,4
3,2,5,3,1,1,2,1,5,4,4,3,4,3,4,1,5,4,4,5,3,1,1,1,1,5
4,2,3,3,2,2,3,5,3,2,2,3,2,4,3,1,2,3,1,2,1,3,1,4,1,5
5,4,1,2,1,2,4,4,3,4,1,1,2,4,3,1,1,4,5,4,1,4,3,2,2,3
6,3,1,5,3,4,4,2,1,4,4,5,5,2,2,4,2,2,2,1,3,4,3,5,5,3
7,4,1,5,5,3,4,5,1,1,1,1,5,3,5,2,1,5,2,3,5,3,1,3,4,5
8,4,1,4,5,1,4,1,5,2,1,1,2,5,2,2,3,3,3,4,3,2,1,3,2,5
9,2,3,5,2,5,2,2,1,5,5,5,5,5,2,5,5,4,2,1,2,3,2,4,1,1
10,4,2,1,1,5,2,3,4,5,3,5,4,1,1,3,4,1,4,5,5,2,1,4,2,4
11,4,1,5,1,5,2,3,3,1,3,1,3,2,3,5,5,5,5,3,2,1,4,2,5,5
12,5,4,3,2,5,1,4,1,2,3,4,3,4,3,5,3,4,5,4,4,4,2,4,3,3
13,4,5,2,2,4,3,2,3,1,3,2,3,2,1,5,2,2,1,5,3,4,1,2,3,2
14,4,3,1,1,1,4,3,3,3,3,3,2,2,5,3,5,3,5,3,3,3,1,3,3,1
15,4,4,3,3,2,5,4,4,1,1,2,4,1,3,3,1,2,3,2,3,3,4,1,5,5
16,4,4,5,1,2,5,5,3,1,1,1,3,1,4,1,4,1,3,4,5,3,5,3,2,5
17,4,5,4,4,3,1,4,3,1,3,1,3,5,5,3,3,5,3,2,3,3,4,5,4,2
18,5,4,5,2,4,3,3,2,5,4,3,2,1,5,2,3,3,2,2,2,2,2,3,1,4
19,1,4,5,5,5,1,2,4,5,3,5,1,5,5,2,4,5,5,1,1,2,3,4,5,4
20,2,2,4,5,2,3,3,5,5,5,5,3,3,3,1,5,5,1,5,5,5,4,3,5,1
